Mes,Estado,cheg_2012,cheg_2013,cheg_2014,cheg_2015,C_Estado,Regiao
1,Amazonas,3717,4945,3581,4423,1,Norte
2,Amazonas,4048,3905,2915,3187,1,Norte
3,Amazonas,3581,2449,2797,3666,1,Norte
4,Amazonas,1914,1447,1474,3392,1,Norte
5,Amazonas,1567,2152,3225,3406,1,Norte
6,Amazonas,3237,2606,13309,4271,1,Norte
7,Amazonas,2673,3167,3699,5273,1,Norte
8,Amazonas,2509,2083,3378,3990,1,Norte
9,Amazonas,2410,1694,2942,3160,1,Norte
10,Amazonas,3203,3143,3466,5283,1,Norte
11,Amazonas,2361,2901,3301,5676,1,Norte
12,Amazonas,3500,2501,5945,4563,1,Norte
1,Bahia,23747,22804,19485,15251,2,Nordeste
2,Bahia,20068,17707,17512,17446,2,Nordeste
3,Bahia,16693,13805,9636,17561,2,Nordeste
4,Bahia,7330,6060,9325,6336,2,Nordeste
5,Bahia,4184,4559,4251,5425,2,Nordeste
6,Bahia,4785,5505,28679,6392,2,Nordeste
7,Bahia,7075,7580,8093,12161,2,Nordeste
8,Bahia,10217,9682,7163,11335,2,Nordeste
9,Bahia,10193,6181,6773,9046,2,Nordeste
10,Bahia,11674,9904,7465,13600,2,Nordeste
11,Bahia,11385,10289,9777,16340,2,Nordeste
12,Bahia,15452,14762,17501,20767,2,Nordeste
1,Ceara,8164,7782,6552,6304,3,Nordeste
2,Ceara,6213,9226,5029,5538,3,Nordeste
3,Ceara,5432,6374,3775,5078,3,Nordeste
4,Ceara,3828,5781,4001,3132,3,Nordeste
5,Ceara,3680,3895,3279,2942,3,Nordeste
6,Ceara,4916,4980,9717,4771,3,Nordeste
7,Ceara,7462,6920,7343,7169,3,Nordeste
8,Ceara,9799,8243,7058,6599,3,Nordeste
9,Ceara,6190,4402,5366,3538,3,Nordeste
10,Ceara,8496,7393,8971,9517,3,Nordeste
11,Ceara,12884,10117,11275,11904,3,Nordeste
12,Ceara,14584,9006,12659,12219,3,Nordeste
1,DF,4834,4923,4126,4889,4,Centro Oeste
2,DF,5298,5248,4776,6108,4,Centro Oeste
3,DF,6462,5899,5049,7650,4,Centro Oeste
4,DF,5436,5808,5599,6921,4,Centro Oeste
5,DF,5077,5797,5653,6796,4,Centro Oeste
6,DF,5852,6965,24143,8253,4,Centro Oeste
7,DF,6529,9314,14587,12715,4,Centro Oeste
8,DF,6176,6849,6712,9544,4,Centro Oeste
9,DF,4685,4246,5312,5226,4,Centro Oeste
10,DF,5725,5904,5721,11379,4,Centro Oeste
11,DF,5914,6920,6385,13846,4,Centro Oeste
12,DF,6552,6414,12000,13881,4,Centro Oeste
1,MatoGrossoSul,7314,6031,8454,7542,5,Centro Oeste
2,MatoGrossoSul,3205,4165,5129,4994,5,Centro Oeste
3,MatoGrossoSul,4314,4129,3909,4400,5,Centro Oeste
4,MatoGrossoSul,2993,3144,4302,4533,5,Centro Oeste
5,MatoGrossoSul,1897,2290,4085,3697,5,Centro Oeste
6,MatoGrossoSul,4196,2269,6905,3250,5,Centro Oeste
7,MatoGrossoSul,4072,3694,4512,4941,5,Centro Oeste
8,MatoGrossoSul,2919,2817,3867,3508,5,Centro Oeste
9,MatoGrossoSul,2545,1230,3488,1636,5,Centro Oeste
10,MatoGrossoSul,2309,2745,3334,4192,5,Centro Oeste
11,MatoGrossoSul,1732,2945,3732,4225,5,Centro Oeste
12,MatoGrossoSul,6395,6064,10282,9683,5,Centro Oeste
1,MinasGerais,3604,2518,2117,2038,6,Sudeste
2,MinasGerais,4006,2733,2664,3453,6,Sudeste
3,MinasGerais,5752,3497,2155,4518,6,Sudeste
4,MinasGerais,3940,2827,2584,3559,6,Sudeste
5,MinasGerais,4225,2889,3331,4512,6,Sudeste
6,MinasGerais,6983,4840,18398,4370,6,Sudeste
7,MinasGerais,5969,10174,5122,5817,6,Sudeste
8,MinasGerais,4876,3910,3347,3922,6,Sudeste
9,MinasGerais,3590,2974,2210,1776,6,Sudeste
10,MinasGerais,3702,3255,2242,3348,6,Sudeste
11,MinasGerais,2991,3095,2414,3950,6,Sudeste
12,MinasGerais,4842,3927,4332,6666,6,Sudeste
1,Para,4107,2139,1574,770,7,Norte
2,Para,1132,1153,2033,1509,7,Norte
3,Para,2102,2036,614,849,7,Norte
4,Para,1305,876,866,1231,7,Norte
5,Para,780,617,531,1032,7,Norte
6,Para,894,629,1715,1163,7,Norte
7,Para,1281,1231,1468,1793,7,Norte
8,Para,1439,1224,1310,1684,7,Norte
9,Para,1222,765,1054,1356,7,Norte
10,Para,997,1003,1123,3141,7,Norte
11,Para,827,823,1003,2627,7,Norte
12,Para,791,773,1522,3553,7,Norte
1,Parana,112939,142279,147165,143903,8,Sul
2,Parana,74462,77726,89717,83840,8,Sul
3,Parana,64397,80043,52907,67889,8,Sul
4,Parana,63135,48834,54560,45177,8,Sul
5,Parana,48952,45999,39174,37481,8,Sul
6,Parana,43823,51814,60825,30881,8,Sul
7,Parana,77629,89686,82421,57810,8,Sul
8,Parana,55149,52866,40983,35097,8,Sul
9,Parana,55668,36821,43273,29024,8,Sul
10,Parana,63134,62914,50047,55311,8,Sul
11,Parana,60324,67317,54459,65662,8,Sul
12,Parana,71784,83429,121515,106898,8,Sul
1,Pernambuco,6806,8333,5064,8451,9,Nordeste
2,Pernambuco,5700,6134,6115,5206,9,Nordeste
3,Pernambuco,4978,5189,3346,6010,9,Nordeste
4,Pernambuco,3103,3239,3148,3592,9,Nordeste
5,Pernambuco,2436,3081,2396,3001,9,Nordeste
6,Pernambuco,3507,4555,18086,4157,9,Nordeste
7,Pernambuco,4011,4969,4489,5207,9,Nordeste
8,Pernambuco,4441,4978,3240,4145,9,Nordeste
